Name,DataType,Comment,Address
TNK_1001_LEVEL,Real,Raw material tank 1 level percent,%MD4000
TNK_1001_VOL,Real,Raw material tank 1 volume m3,%MD4002
LT_1001_PV,Real,Raw material tank 1 level percent,%MD4004
LT_1001_HI,Bool,Raw material tank 1 level high,%MX500.3
LT_1001_HH,Bool,Raw material tank 1 level high high,%MX500.4
LT_1001_LO,Bool,Raw material tank 1 level low,%MX500.5
LT_1001_LL,Bool,Raw material tank 1 level low low,%MX500.6
TT_1001_PV,Real,Raw material tank 1 temperature degC,%MD4014
VLV_1001_OPEN,Bool,Raw material tank 1 outlet valve open feedback,%MX501.0
VLV_1001_CLOSED,Bool,Raw material tank 1 outlet valve closed feedback,%MX501.1
VLV_1001_CMD,Bool,Raw material tank 1 outlet valve open command,%MX501.2
VLV_1001_FLT,Bool,Raw material tank 1 outlet valve fault,%MX501.3
TNK_1002_LEVEL,Real,Raw material tank 2 level percent,%MD4024
TNK_1002_VOL,Real,Raw material tank 2 volume m3,%MD4026
LT_1002_PV,Real,Raw material tank 2 level percent,%MD4028
LT_1002_HI,Bool,Raw material tank 2 level high,%MX501.7
LT_1002_HH,Bool,Raw material tank 2 level high high,%MX502.0
LT_1002_LO,Bool,Raw material tank 2 level low,%MX502.1
LT_1002_LL,Bool,Raw material tank 2 level low low,%MX502.2
TT_1002_PV,Real,Raw material tank 2 temperature degC,%MD4038
VLV_1002_OPEN,Bool,Raw material tank 2 outlet valve open feedback,%MX502.4
VLV_1002_CLOSED,Bool,Raw material tank 2 outlet valve closed feedback,%MX502.5
VLV_1002_CMD,Bool,Raw material tank 2 outlet valve open command,%MX502.6
VLV_1002_FLT,Bool,Raw material tank 2 outlet valve fault,%MX502.7
TNK_1003_LEVEL,Real,Raw material tank 3 level percent,%MD4048
TNK_1003_VOL,Real,Raw material tank 3 volume m3,%MD4050
LT_1003_PV,Real,Raw material tank 3 level percent,%MD4052
LT_1003_HI,Bool,Raw material tank 3 level high,%MX503.3
LT_1003_HH,Bool,Raw material tank 3 level high high,%MX503.4
LT_1003_LO,Bool,Raw material tank 3 level low,%MX503.5
LT_1003_LL,Bool,Raw material tank 3 level low low,%MX503.6
TT_1003_PV,Real,Raw material tank 3 temperature degC,%MD4062
VLV_1003_OPEN,Bool,Raw material tank 3 outlet valve open feedback,%MX504.0
VLV_1003_CLOSED,Bool,Raw material tank 3 outlet valve closed feedback,%MX504.1
VLV_1003_CMD,Bool,Raw material tank 3 outlet valve open command,%MX504.2
VLV_1003_FLT,Bool,Raw material tank 3 outlet valve fault,%MX504.3
TNK_1004_LEVEL,Real,Raw material tank 4 level percent,%MD4072
TNK_1004_VOL,Real,Raw material tank 4 volume m3,%MD4074
LT_1004_PV,Real,Raw material tank 4 level percent,%MD4076
LT_1004_HI,Bool,Raw material tank 4 level high,%MX504.7
LT_1004_HH,Bool,Raw material tank 4 level high high,%MX505.0
LT_1004_LO,Bool,Raw material tank 4 level low,%MX505.1
LT_1004_LL,Bool,Raw material tank 4 level low low,%MX505.2
TT_1004_PV,Real,Raw material tank 4 temperature degC,%MD4086
VLV_1004_OPEN,Bool,Raw material tank 4 outlet valve open feedback,%MX505.4
VLV_1004_CLOSED,Bool,Raw material tank 4 outlet valve closed feedback,%MX505.5
VLV_1004_CMD,Bool,Raw material tank 4 outlet valve open command,%MX505.6
VLV_1004_FLT,Bool,Raw material tank 4 outlet valve fault,%MX505.7
TNK_1005_LEVEL,Real,Raw material tank 5 level percent,%MD4096
TNK_1005_VOL,Real,Raw material tank 5 volume m3,%MD4098
LT_1005_PV,Real,Raw material tank 5 level percent,%MD4100
LT_1005_HI,Bool,Raw material tank 5 level high,%MX506.3
LT_1005_HH,Bool,Raw material tank 5 level high high,%MX506.4
LT_1005_LO,Bool,Raw material tank 5 level low,%MX506.5
LT_1005_LL,Bool,Raw material tank 5 level low low,%MX506.6
TT_1005_PV,Real,Raw material tank 5 temperature degC,%MD4110
VLV_1005_OPEN,Bool,Raw material tank 5 outlet valve open feedback,%MX507.0
VLV_1005_CLOSED,Bool,Raw material tank 5 outlet valve closed feedback,%MX507.1
VLV_1005_CMD,Bool,Raw material tank 5 outlet valve open command,%MX507.2
VLV_1005_FLT,Bool,Raw material tank 5 outlet valve fault,%MX507.3
TNK_1006_LEVEL,Real,Raw material tank 6 level percent,%MD4120
TNK_1006_VOL,Real,Raw material tank 6 volume m3,%MD4122
LT_1006_PV,Real,Raw material tank 6 level percent,%MD4124
LT_1006_HI,Bool,Raw material tank 6 level high,%MX507.7
LT_1006_HH,Bool,Raw material tank 6 level high high,%MX508.0
LT_1006_LO,Bool,Raw material tank 6 level low,%MX508.1
LT_1006_LL,Bool,Raw material tank 6 level low low,%MX508.2
TT_1006_PV,Real,Raw material tank 6 temperature degC,%MD4134
VLV_1006_OPEN,Bool,Raw material tank 6 outlet valve open feedback,%MX508.4
VLV_1006_CLOSED,Bool,Raw material tank 6 outlet valve closed feedback,%MX508.5
VLV_1006_CMD,Bool,Raw material tank 6 outlet valve open command,%MX508.6
VLV_1006_FLT,Bool,Raw material tank 6 outlet valve fault,%MX508.7
PMP_1101_RUN,Bool,Raw material transfer pump 1 running,%MX509.0
PMP_1101_FLT,Bool,Raw material transfer pump 1 fault,%MX509.1
PMP_1101_AVAIL,Bool,Raw material transfer pump 1 available,%MX509.2
PMP_1101_START,Bool,Raw material transfer pump 1 start command,%MX509.3
PMP_1101_STOP,Bool,Raw material transfer pump 1 stop command,%MX509.4
PMP_1101_HRS,Real,Raw material transfer pump 1 run hours,%MD4154
PMP_1101_SPD,Real,Raw material transfer pump 1 speed feedback percent,%MD4156
PMP_1101_SPD_SP,Real,Raw material transfer pump 1 speed setpoint percent,%MD4158
PMP_1101_AMPS,Real,Raw material transfer pump 1 motor current A,%MD4160
