Name,DataType,Comment,Address
FAN_101_RUN,Bool,AHU 1 supply fan running,%MX500.0
FAN_101_FLT,Bool,AHU 1 supply fan fault,%MX500.1
FAN_101_AVAIL,Bool,AHU 1 supply fan available,%MX500.2
FAN_101_START,Bool,AHU 1 supply fan start command,%MX500.3
FAN_101_STOP,Bool,AHU 1 supply fan stop command,%MX500.4
FAN_101_HRS,Real,AHU 1 supply fan run hours,%MD4010
FAN_101_SPD,Real,AHU 1 supply fan speed feedback percent,%MD4012
FAN_101_SPD_SP,Real,AHU 1 supply fan speed setpoint percent,%MD4014
FAN_101_AMPS,Real,AHU 1 supply fan motor current A,%MD4016
FAN_111_RUN,Bool,AHU 1 return fan running,%MX501.1
FAN_111_FLT,Bool,AHU 1 return fan fault,%MX501.2
FAN_111_AVAIL,Bool,AHU 1 return fan available,%MX501.3
FAN_111_START,Bool,AHU 1 return fan start command,%MX501.4
FAN_111_STOP,Bool,AHU 1 return fan stop command,%MX501.5
FAN_111_HRS,Real,AHU 1 return fan run hours,%MD4028
FAN_111_SPD,Real,AHU 1 return fan speed feedback percent,%MD4030
FAN_111_SPD_SP,Real,AHU 1 return fan speed setpoint percent,%MD4032
FAN_111_AMPS,Real,AHU 1 return fan motor current A,%MD4034
TT_101_PV,Real,AHU 1 supply air temperature degC,%MD4036
TT_101_HI,Bool,AHU 1 supply air temperature high,%MX502.3
TT_101_LO,Bool,AHU 1 supply air temperature low,%MX502.4
TT_111_PV,Real,AHU 1 return air temperature degC,%MD4042
PT_101_PV,Real,AHU 1 filter differential pressure Pa,%MD4044
PT_101_HI,Bool,AHU 1 filter differential pressure high,%MX502.7
VLV_101_PV,Real,AHU 1 cooling coil valve position percent,%MD4048
VLV_101_SP,Real,AHU 1 cooling coil valve position setpoint percent,%MD4050
VLV_101_FLT,Bool,AHU 1 cooling coil valve fault,%MX503.2
VLV_111_PV,Real,AHU 1 heating coil valve position percent,%MD4054
VLV_111_SP,Real,AHU 1 heating coil valve position setpoint percent,%MD4056
VLV_111_FLT,Bool,AHU 1 heating coil valve fault,%MX503.5
AHU_101_DAMPER_PV,Real,AHU 1 fresh air damper percent,%MD4060
AHU_101_DAMPER_SP,Real,AHU 1 fresh air damper setpoint percent,%MD4062
AHU_101_OCC,Bool,AHU 1 occupied,%MX504.0
FAN_102_RUN,Bool,AHU 2 supply fan running,%MX504.1
FAN_102_FLT,Bool,AHU 2 supply fan fault,%MX504.2
FAN_102_AVAIL,Bool,AHU 2 supply fan available,%MX504.3
FAN_102_START,Bool,AHU 2 supply fan start command,%MX504.4
FAN_102_STOP,Bool,AHU 2 supply fan stop command,%MX504.5
FAN_102_HRS,Real,AHU 2 supply fan run hours,%MD4076
FAN_102_SPD,Real,AHU 2 supply fan speed feedback percent,%MD4078
FAN_102_SPD_SP,Real,AHU 2 supply fan speed setpoint percent,%MD4080
FAN_102_AMPS,Real,AHU 2 supply fan motor current A,%MD4082
FAN_112_RUN,Bool,AHU 2 return fan running,%MX505.2
FAN_112_FLT,Bool,AHU 2 return fan fault,%MX505.3
FAN_112_AVAIL,Bool,AHU 2 return fan available,%MX505.4
FAN_112_START,Bool,AHU 2 return fan start command,%MX505.5
FAN_112_STOP,Bool,AHU 2 return fan stop command,%MX505.6
FAN_112_HRS,Real,AHU 2 return fan run hours,%MD4094
FAN_112_SPD,Real,AHU 2 return fan speed feedback percent,%MD4096
FAN_112_SPD_SP,Real,AHU 2 return fan speed setpoint percent,%MD4098
FAN_112_AMPS,Real,AHU 2 return fan motor current A,%MD4100
TT_102_PV,Real,AHU 2 supply air temperature degC,%MD4102
TT_102_HI,Bool,AHU 2 supply air temperature high,%MX506.4
TT_102_LO,Bool,AHU 2 supply air temperature low,%MX506.5
TT_112_PV,Real,AHU 2 return air temperature degC,%MD4108
PT_102_PV,Real,AHU 2 filter differential pressure Pa,%MD4110
PT_102_HI,Bool,AHU 2 filter differential pressure high,%MX507.0
VLV_102_PV,Real,AHU 2 cooling coil valve position percent,%MD4114
VLV_102_SP,Real,AHU 2 cooling coil valve position setpoint percent,%MD4116
VLV_102_FLT,Bool,AHU 2 cooling coil valve fault,%MX507.3
VLV_112_PV,Real,AHU 2 heating coil valve position percent,%MD4120
VLV_112_SP,Real,AHU 2 heating coil valve position setpoint percent,%MD4122
VLV_112_FLT,Bool,AHU 2 heating coil valve fault,%MX507.6
AHU_102_DAMPER_PV,Real,AHU 2 fresh air damper percent,%MD4126
