Symbol	Type	Comment	Address
RCT_301_TEMP	Float	Reactor 1 temperature (degC)	%MD1350
RCT_301_PRESS	Float	Reactor 1 pressure (bar)	%MD1352
RCT_301_LEVEL	Float	Reactor 1 level (%)	%MD1354
RCT_301_AGIT_RUN	Bit	Reactor 1 agitator running	%MX169.4
RCT_301_AGIT_FLT	Bit	Reactor 1 agitator fault	%MX169.6
RCT_301_AGIT_SPD	Int	Reactor 1 agitator speed (rpm)	%MW1360
RCT_301_JKT_TEMP	Float	Reactor 1 jacket temperature (degC)	%MD1362
RCT_301_JKT_VALVE	Int	Reactor 1 jacket valve position (%)	%MW1364
RCT_301_TEMP_HI	Bit	Reactor 1 high temperature alarm	%MX170.6
RCT_301_PRESS_HI	Bit	Reactor 1 high pressure alarm	%MX171.0
RCT_301_BATCH	Text	Reactor 1 batch identifier	%MW1370
RCT_301_STEP	Int	Reactor 1 recipe step	%MW1372
RCT_302_TEMP	Float	Reactor 2 temperature (degC)	%MD1374
RCT_302_PRESS	Float	Reactor 2 pressure (bar)	%MD1376
RCT_302_LEVEL	Float	Reactor 2 level (%)	%MD1378
RCT_302_AGIT_RUN	Bit	Reactor 2 agitator running	%MX172.4
RCT_302_AGIT_FLT	Bit	Reactor 2 agitator fault	%MX172.6
RCT_302_AGIT_SPD	Int	Reactor 2 agitator speed (rpm)	%MW1384
RCT_302_JKT_TEMP	Float	Reactor 2 jacket temperature (degC)	%MD1386
RCT_302_JKT_VALVE	Int	Reactor 2 jacket valve position (%)	%MW1388
RCT_302_TEMP_HI	Bit	Reactor 2 high temperature alarm	%MX173.6
RCT_302_PRESS_HI	Bit	Reactor 2 high pressure alarm	%MX174.0
RCT_302_BATCH	Text	Reactor 2 batch identifier	%MW1394
RCT_302_STEP	Int	Reactor 2 recipe step	%MW1396
RCT_303_TEMP	Float	Reactor 3 temperature (degC)	%MD1398
RCT_303_PRESS	Float	Reactor 3 pressure (bar)	%MD1400
RCT_303_LEVEL	Float	Reactor 3 level (%)	%MD1402
RCT_303_AGIT_RUN	Bit	Reactor 3 agitator running	%MX175.4
RCT_303_AGIT_FLT	Bit	Reactor 3 agitator fault	%MX175.6
RCT_303_AGIT_SPD	Int	Reactor 3 agitator speed (rpm)	%MW1408
RCT_303_JKT_TEMP	Float	Reactor 3 jacket temperature (degC)	%MD1410
RCT_303_JKT_VALVE	Int	Reactor 3 jacket valve position (%)	%MW1412
RCT_303_TEMP_HI	Bit	Reactor 3 high temperature alarm	%MX176.6
RCT_303_PRESS_HI	Bit	Reactor 3 high pressure alarm	%MX177.0
RCT_303_BATCH	Text	Reactor 3 batch identifier	%MW1418
RCT_303_STEP	Int	Reactor 3 recipe step	%MW1420
RCT_304_TEMP	Float	Reactor 4 temperature (degC)	%MD1422
RCT_304_PRESS	Float	Reactor 4 pressure (bar)	%MD1424
RCT_304_LEVEL	Float	Reactor 4 level (%)	%MD1426
RCT_304_AGIT_RUN	Bit	Reactor 4 agitator running	%MX178.4
RCT_304_AGIT_FLT	Bit	Reactor 4 agitator fault	%MX178.6
