Name,DataType,Comment,Address
PMP_101_RUN,Bool,Pump 1 running,%MX500.2
PMP_101_FLT,Bool,Pump 1 fault,%MX500.4
PMP_101_AVAIL,Bool,Pump 1 available,%MX500.6
PMP_101_START,Bool,Pump 1 start command,%MX501.0
PMP_101_STOP,Bool,Pump 1 stop command,%MX501.2
PMP_101_HOURS,DINT,Pump 1 run hours,%MD4012
PMP_101_AMPS,Float,Pump 1 motor current,%MD4014
PMP_101_SPEED,REAL,Pump 1 speed feedback,%MD4016
PMP_102_RUN,Bool,Pump 2 running,%MX502.2
PMP_102_FLT,Bool,Pump 2 fault,%MX502.4
PMP_102_AVAIL,Bool,Pump 2 available,%MX502.6
PMP_102_START,Bool,Pump 2 start command,%MX503.0
PMP_102_STOP,Bool,Pump 2 stop command,%MX503.2
PMP_102_HOURS,DINT,Pump 2 run hours,%MD4028
PMP_102_AMPS,Float,Pump 2 motor current,%MD4030
PMP_102_SPEED,REAL,Pump 2 speed feedback,%MD4032
PMP_103_RUN,Bool,Pump 3 running,%MX504.2
PMP_103_FLT,Bool,Pump 3 fault,%MX504.4
PMP_103_AVAIL,Bool,Pump 3 available,%MX504.6
PMP_103_START,Bool,Pump 3 start command,%MX505.0
PMP_103_STOP,Bool,Pump 3 stop command,%MX505.2
PMP_103_HOURS,DINT,Pump 3 run hours,%MD4044
PMP_103_AMPS,Float,Pump 3 motor current,%MD4046
PMP_103_SPEED,REAL,Pump 3 speed feedback,%MD4048
PMP_104_RUN,Bool,Pump 4 running,%MX506.2
PMP_104_FLT,Bool,Pump 4 fault,%MX506.4
PMP_104_AVAIL,Bool,Pump 4 available,%MX506.6
PMP_104_START,Bool,Pump 4 start command,%MX507.0
PMP_104_STOP,Bool,Pump 4 stop command,%MX507.2
PMP_104_HOURS,DINT,Pump 4 run hours,%MD4060
PMP_104_AMPS,Float,Pump 4 motor current,%MD4062
PMP_104_SPEED,REAL,Pump 4 speed feedback,%MD4064
PMP_105_RUN,Bool,Pump 5 running,%MX508.2
PMP_105_FLT,Bool,Pump 5 fault,%MX508.4
PMP_105_AVAIL,Bool,Pump 5 available,%MX508.6
PMP_105_START,Bool,Pump 5 start command,%MX509.0
PMP_105_STOP,Bool,Pump 5 stop command,%MX509.2
PMP_105_HOURS,DINT,Pump 5 run hours,%MD4076
PMP_105_AMPS,Float,Pump 5 motor current,%MD4078
PMP_105_SPEED,REAL,Pump 5 speed feedback,%MD4080
PMP_106_RUN,Bool,Pump 6 running,%MX510.2
PMP_106_FLT,Bool,Pump 6 fault,%MX510.4
PMP_106_AVAIL,Bool,Pump 6 available,%MX510.6
PMP_106_START,Bool,Pump 6 start command,%MX511.0
PMP_106_STOP,Bool,Pump 6 stop command,%MX511.2
PMP_106_HOURS,DINT,Pump 6 run hours,%MD4092
PMP_106_AMPS,Float,Pump 6 motor current,%MD4094
PMP_106_SPEED,REAL,Pump 6 speed feedback,%MD4096
PMP_107_RUN,Bool,Pump 7 running,%MX512.2
PMP_107_FLT,Bool,Pump 7 fault,%MX512.4
PMP_107_AVAIL,Bool,Pump 7 available,%MX512.6
PMP_107_START,Bool,Pump 7 start command,%MX513.0
PMP_107_STOP,Bool,Pump 7 stop command,%MX513.2
PMP_107_HOURS,DINT,Pump 7 run hours,%MD4108
PMP_107_AMPS,Float,Pump 7 motor current,%MD4110
PMP_107_SPEED,REAL,Pump 7 speed feedback,%MD4112
PMP_108_RUN,Bool,Pump 8 running,%MX514.2
PMP_108_FLT,Bool,Pump 8 fault,%MX514.4
PMP_108_AVAIL,Bool,Pump 8 available,%MX514.6
PMP_108_START,Bool,Pump 8 start command,%MX515.0
PMP_108_STOP,Bool,Pump 8 stop command,%MX515.2
PMP_108_HOURS,DINT,Pump 8 run hours,%MD4124
PMP_108_AMPS,Float,Pump 8 motor current,%MD4126
PMP_108_SPEED,REAL,Pump 8 speed feedback,%MD4128
PMP_109_RUN,Bool,Pump 9 running,%MX516.2
PMP_109_FLT,Bool,Pump 9 fault,%MX516.4
PMP_109_AVAIL,Bool,Pump 9 available,%MX516.6
PMP_109_START,Bool,Pump 9 start command,%MX517.0
PMP_109_STOP,Bool,Pump 9 stop command,%MX517.2
PMP_109_HOURS,DINT,Pump 9 run hours,%MD4140
PMP_109_AMPS,Float,Pump 9 motor current,%MD4142
PMP_109_SPEED,REAL,Pump 9 speed feedback,%MD4144
PMP_110_RUN,Bool,Pump 10 running,%MX518.2
PMP_110_FLT,Bool,Pump 10 fault,%MX518.4
PMP_110_AVAIL,Bool,Pump 10 available,%MX518.6
PMP_110_START,Bool,Pump 10 start command,%MX519.0
PMP_110_STOP,Bool,Pump 10 stop command,%MX519.2
PMP_110_HOURS,DINT,Pump 10 run hours,%MD4156
PMP_110_AMPS,Float,Pump 10 motor current,%MD4158
PMP_110_SPEED,REAL,Pump 10 speed feedback,%MD4160
PMP_111_RUN,Bool,Pump 11 running,%MX520.2
PMP_111_FLT,Bool,Pump 11 fault,%MX520.4
PMP_111_AVAIL,Bool,Pump 11 available,%MX520.6
PMP_111_START,Bool,Pump 11 start command,%MX521.0
PMP_111_STOP,Bool,Pump 11 stop command,%MX521.2
PMP_111_HOURS,DINT,Pump 11 run hours,%MD4172
PMP_111_AMPS,Float,Pump 11 motor current,%MD4174
PMP_111_SPEED,REAL,Pump 11 speed feedback,%MD4176
PMP_112_RUN,Bool,Pump 12 running,%MX522.2
PMP_112_FLT,Bool,Pump 12 fault,%MX522.4
PMP_112_AVAIL,Bool,Pump 12 available,%MX522.6
PMP_112_START,Bool,Pump 12 start command,%MX523.0
PMP_112_STOP,Bool,Pump 12 stop command,%MX523.2
PMP_112_HOURS,DINT,Pump 12 run hours,%MD4188
PMP_112_AMPS,Float,Pump 12 motor current,%MD4190
PMP_112_SPEED,REAL,Pump 12 speed feedback,%MD4192
FT_101_PV,analog,Flow transmitter 1 process value (m3/h),%MD4194
FT_101_SP,REAL,Flow transmitter 1 setpoint,%MD4196
FT_101_HI,Bool,Flow transmitter 1 high alarm,%MX524.6
FT_101_LO,Bool,Flow transmitter 1 low alarm,%MX525.0
FT_101_FAIL,Bool,Flow transmitter 1 signal fault,%MX525.2
FT_102_PV,analog,Flow transmitter 2 process value (m3/h),%MD4204
FT_102_SP,REAL,Flow transmitter 2 setpoint,%MD4206
FT_102_HI,Bool,Flow transmitter 2 high alarm,%MX526.0
FT_102_LO,Bool,Flow transmitter 2 low alarm,%MX526.2
FT_102_FAIL,Bool,Flow transmitter 2 signal fault,%MX526.4
FT_103_PV,analog,Flow transmitter 3 process value (m3/h),%MD4214
FT_103_SP,REAL,Flow transmitter 3 setpoint,%MD4216
FT_103_HI,Bool,Flow transmitter 3 high alarm,%MX527.2
FT_103_LO,Bool,Flow transmitter 3 low alarm,%MX527.4
FT_103_FAIL,Bool,Flow transmitter 3 signal fault,%MX527.6
FT_104_PV,analog,Flow transmitter 4 process value (m3/h),%MD4224
FT_104_SP,REAL,Flow transmitter 4 setpoint,%MD4226
FT_104_HI,Bool,Flow transmitter 4 high alarm,%MX528.4
FT_104_LO,Bool,Flow transmitter 4 low alarm,%MX528.6
FT_104_FAIL,Bool,Flow transmitter 4 signal fault,%MX529.0
FT_105_PV,analog,Flow transmitter 5 process value (m3/h),%MD4234
FT_105_SP,REAL,Flow transmitter 5 setpoint,%MD4236
FT_105_HI,Bool,Flow transmitter 5 high alarm,%MX529.6
FT_105_LO,Bool,Flow transmitter 5 low alarm,%MX530.0
FT_105_FAIL,Bool,Flow transmitter 5 signal fault,%MX530.2
FT_106_PV,analog,Flow transmitter 6 process value (m3/h),%MD4244
FT_106_SP,REAL,Flow transmitter 6 setpoint,%MD4246
FT_106_HI,Bool,Flow transmitter 6 high alarm,%MX531.0
FT_106_LO,Bool,Flow transmitter 6 low alarm,%MX531.2
FT_106_FAIL,Bool,Flow transmitter 6 signal fault,%MX531.4
FT_107_PV,analog,Flow transmitter 7 process value (m3/h),%MD4254
FT_107_SP,REAL,Flow transmitter 7 setpoint,%MD4256
FT_107_HI,Bool,Flow transmitter 7 high alarm,%MX532.2
FT_107_LO,Bool,Flow transmitter 7 low alarm,%MX532.4
FT_107_FAIL,Bool,Flow transmitter 7 signal fault,%MX532.6
FT_108_PV,analog,Flow transmitter 8 process value (m3/h),%MD4264
FT_108_SP,REAL,Flow transmitter 8 setpoint,%MD4266
FT_108_HI,Bool,Flow transmitter 8 high alarm,%MX533.4
FT_108_LO,Bool,Flow transmitter 8 low alarm,%MX533.6
FT_108_FAIL,Bool,Flow transmitter 8 signal fault,%MX534.0
FT_109_PV,analog,Flow transmitter 9 process value (m3/h),%MD4274
FT_109_SP,REAL,Flow transmitter 9 setpoint,%MD4276
FT_109_HI,Bool,Flow transmitter 9 high alarm,%MX534.6
FT_109_LO,Bool,Flow transmitter 9 low alarm,%MX535.0
FT_109_FAIL,Bool,Flow transmitter 9 signal fault,%MX535.2
FT_110_PV,analog,Flow transmitter 10 process value (m3/h),%MD4284
FT_110_SP,REAL,Flow transmitter 10 setpoint,%MD4286
FT_110_HI,Bool,Flow transmitter 10 high alarm,%MX536.0
FT_110_LO,Bool,Flow transmitter 10 low alarm,%MX536.2
FT_110_FAIL,Bool,Flow transmitter 10 signal fault,%MX536.4
FT_111_PV,analog,Flow transmitter 11 process value (m3/h),%MD4294
FT_111_SP,REAL,Flow transmitter 11 setpoint,%MD4296
FT_111_HI,Bool,Flow transmitter 11 high alarm,%MX537.2
FT_111_LO,Bool,Flow transmitter 11 low alarm,%MX537.4
FT_111_FAIL,Bool,Flow transmitter 11 signal fault,%MX537.6
FT_112_PV,analog,Flow transmitter 12 process value (m3/h),%MD4304
FT_112_SP,REAL,Flow transmitter 12 setpoint,%MD4306
FT_112_HI,Bool,Flow transmitter 12 high alarm,%MX538.4
FT_112_LO,Bool,Flow transmitter 12 low alarm,%MX538.6
FT_112_FAIL,Bool,Flow transmitter 12 signal fault,%MX539.0
FT_113_PV,analog,Flow transmitter 13 process value (m3/h),%MD4314
FT_113_SP,REAL,Flow transmitter 13 setpoint,%MD4316
FT_113_HI,Bool,Flow transmitter 13 high alarm,%MX539.6
FT_113_LO,Bool,Flow transmitter 13 low alarm,%MX540.0
FT_113_FAIL,Bool,Flow transmitter 13 signal fault,%MX540.2
FT_114_PV,analog,Flow transmitter 14 process value (m3/h),%MD4324
FT_114_SP,REAL,Flow transmitter 14 setpoint,%MD4326
FT_114_HI,Bool,Flow transmitter 14 high alarm,%MX541.0
FT_114_LO,Bool,Flow transmitter 14 low alarm,%MX541.2
FT_114_FAIL,Bool,Flow transmitter 14 signal fault,%MX541.4
FT_115_PV,analog,Flow transmitter 15 process value (m3/h),%MD4334
FT_115_SP,REAL,Flow transmitter 15 setpoint,%MD4336
FT_115_HI,Bool,Flow transmitter 15 high alarm,%MX542.2
